id	rate	bna
28119	7761	3751
28121	146761	70809
28123	28293	13706
28125	4805	2139
28127	27401	13373
28129	16257	7830
28131	17978	9140
28133	27911	14594
28135	14959	8907
28137	28415	13835
28139	22054	10848
28141	19539	9420
28143	10477	4916
28145	27811	13525
28147	14978	7347
28149	48020	22838
28151	49499	23204
28153	20564	10008
28155	9999	4917
28157	9345	4919
28159	18697	9058
28161	12381	6040
28163	27911	15460
29001	25560	12147
29003	17328	8586
29005	5440	2702
29007	25783	11730
29009	35726	17905
29011	12166	6001
29013	16643	8189
29015	18854	9397
29017	12356	6184
29019	170770	82533
29021	89561	44809
29023	42951	20753
29025	9083	4548
29027	44566	22656
29029	43927	21638
29031	77606	37569
29033	9096	4410
29035	6284	2995
29037	100781	49384
29039	13892	6918
29041	7650	3773
29043	80904	39288
29045	6919	3495
29047	230361	112738
29049	20498	10296
29051	76533	38701
29053	17593	9328
29055	24660	12170
29057	7618	3881
29059	16564	8284
29061	8277	4178
29063	12782	8080
29065	15612	7651
29067	13516	6743
29069	31562	15220
29071	101828	50610
29073	14948	7405
29075	6785	3275
29077	283206	137929
29079	10256	4916
29081	8722	4379
29083	22034	10798
29085	9335	4594
29087	4615	2301
29089	10182	5086
29091	40326	19514
29093	10322	5105
29095	680905	329297
29097	117184	57240
29099	221577	110157
29101	54155	27818
29103	4035	2016
29105	35514	17552
29107	32916	16260
29109	38244	19124
29111	10172	5123
29113	53850	26831
29115	12401	5904
29117	15042	6787
29119	22763	11565
29121	15460	7540
29123	12401	6068
29125	9057	4550
29127	28840	13850
29129	3718	1856
29131	24956	12272
